name,type,lat,lon,city
Unknown,school,12.8772119,77.6025994,bangalore
Angel Heart Montessori Play School,school,12.9187503,77.6518327,bangalore
Swamy Vivekananda Primary and High School,school,13.0483112,77.6342169,bangalore
Golden Chariot Public School,school,13.0989262,77.6350463,bangalore
Manasa Public School,school,13.0557708,77.6327504,bangalore
United Public School,school,13.0384174,77.6387738,bangalore
L.B.S. School,school,13.0519542,77.6885541,bangalore
Yuvalok School,school,13.0371969,77.6427683,bangalore
Sinclairs High School,school,13.0317498,77.6437784,bangalore
Sacred Hearts Girls School,school,12.9694218,77.6033897,bangalore
Gopalan International Schoool,school,12.9853135,77.7183757,bangalore
Hoodi High School,school,12.9934221,77.7167666,bangalore
Carmel High School,school,12.9885908,77.5442935,bangalore
Stella Maris School,school,13.0064539,77.5780313,bangalore
Madrasa-e Arabiya,school,12.9430867,77.5994637,bangalore
B. P. Indian,school,13.0011737,77.5683395,bangalore
Father Mathews School,school,13.0457661,77.5416305,bangalore
Vani Vilas,school,13.0092653,77.5621798,bangalore
St. Sara's School,school,12.946945,77.6175314,bangalore
Deccan school,school,12.9921674,77.5683888,bangalore
Anganavadi,school,12.991587,77.5684205,bangalore
Government School,school,12.9496275,77.6139658,bangalore
Methodist church school,school,12.9497624,77.6143357,bangalore
Adithya public school,school,12.9499206,77.6151518,bangalore
Nagasena Vidyalaya,school,13.0140892,77.5760778,bangalore
Advanced Animation Academy,school,13.0089647,77.580665,bangalore
Vasavi Education Trust School,school,12.9081457,77.5929709,bangalore
Naasih Montessori Public School,school,13.0016772,77.6138117,bangalore
"St Josephs Eng Pri Sch, B T M Layout W No 65",school,12.9141469,77.6116922,bangalore
Auden Public School,school,12.9381024,77.543378,bangalore
Auden School,school,12.9323436,77.5437984,bangalore
SM English School,school,12.9846765,77.7183953,bangalore
Mother Montessori House of Children Pre-school,school,12.985118,77.679021,bangalore
LR International School,school,12.977267,77.679729,bangalore
Holy Saint English School,school,12.9217736,77.5925109,bangalore
Saraswati Vidya Mandir,school,12.9340338,77.5874849,bangalore
Good Shepherd School,school,12.9229013,77.5816474,bangalore
Nehru Smaraka Vidya Kendra,school,12.9271452,77.5778773,bangalore
Community English High School,school,12.9387689,77.5841184,bangalore
The Dunmore House Preschool,school,12.9633529,77.7314283,bangalore
Neev School,school,12.9625721,77.7476906,bangalore
Bangalore International Public School,school,12.9095131,77.5502862,bangalore
Jetking Computer Hardware and Networking,school,12.9781581,77.7250546,bangalore
Green Country Public School,school,13.0592352,77.5939566,bangalore
Gandhi Nagar High School,school,12.9910826,77.5789046,bangalore
The New Cambridge High School,school,12.9655564,77.5417627,bangalore
Unknown,school,12.979677,77.748098,bangalore
Ubhaya Vedanta Pravarthana Sabha,school,13.0008128,77.5701799,bangalore
Nirmala Rani High School,school,13.0092904,77.5614979,bangalore
Prarthana School,school,12.9119447,77.5581363,bangalore
Gubbalala School,school,12.8886669,77.5411424,bangalore
Insight Academy,school,12.8929689,77.5596739,bangalore
Unknown,school,13.0365701,77.6064886,bangalore
Global Chess Academy India,school,12.962267,77.530001,bangalore
HMT Kinder Garden School,school,13.0474055,77.5445463,bangalore
Mallige School Of Nursing,school,13.0478654,77.5442244,bangalore
St. Claret PU College,school,13.0441027,77.5439669,bangalore
Saint Claret School,school,13.043392,77.5451578,bangalore
Mount Senora School,school,13.0055371,77.5254587,bangalore
Bangalore Blaze Girls High School,school,12.9582352,77.517911,bangalore
Vice Chancellor's Lodge,school,12.9377048,77.50855,bangalore
Swargarani,school,12.9125086,77.5271968,bangalore
Quality Nursing Institute,school,12.9081687,77.5373087,bangalore
Government School,school,12.9056118,77.5434456,bangalore
Poorna Prajna Education Center,school,13.0990532,77.5812916,bangalore
Unknown,school,12.9170955,77.5905046,bangalore
Air Force School,school,13.0721308,77.5492982,bangalore
Bethany High School Koramangala,school,12.9404971,77.6207624,bangalore
SSM Public School,school,12.9328395,77.5638317,bangalore
Kamala Nehru Patashala (Emmanual English School),school,12.9339482,77.5664867,bangalore
Chaitnya nursing School,school,13.0995417,77.5861639,bangalore
Fathima's Girls High School,school,12.9968818,77.6109656,bangalore
Santosh Institute of Nursing & Research,school,12.9916626,77.6024335,bangalore
St. Francis Xavier's High School,school,12.9933042,77.6131994,bangalore
St. Joseph's Convent Girls High School,school,12.992426,77.6135802,bangalore
Holy Angel's High School,school,12.9938162,77.6144766,bangalore
RTC Girls High School,school,12.9926871,77.6141548,bangalore
Kripanidhi Cambridge Public School,school,12.9246365,77.6384508,bangalore
St Francis ICSE school,school,12.8889212,77.6252612,bangalore
Sri Kumaran Children's Home,school,12.9333166,77.5726226,bangalore
SSM Primary School,school,12.9356689,77.5699296,bangalore
Kumaran Children's High School,school,12.9329402,77.5717482,bangalore
Sharada School,school,13.0583621,77.5982875,bangalore
Little Lilly's English School,school,13.0092391,77.5478152,bangalore
Sri Vani Education Society,school,13.0037708,77.5547591,bangalore
Government Primary School Yelenahalli,school,12.867378,77.6162668,bangalore
Holy Child Convent School,school,12.9373897,77.56002,bangalore
Niveditha school,school,12.9453673,77.5672085,bangalore
SSVM GP Branch,school,12.9444263,77.5651593,bangalore
BASE,school,12.9455787,77.5679644,bangalore
Unknown,school,13.0004716,77.5346306,bangalore
Gautham College of Nursing,school,13.001119,77.5411129,bangalore
Anupama English School,school,13.0000789,77.5409358,bangalore
Vasavi Polytechnic College,school,12.9737683,77.5442442,bangalore
RNS Vidyaniketan School,school,12.9619713,77.5327333,bangalore
KVV High School,school,12.9646688,77.5330893,bangalore
Indo-German School,school,13.0042548,77.6580406,bangalore
Ankur Nursery School,school,12.9719967,77.6278036,bangalore
St. Johns High School,school,12.9655182,77.541311,bangalore
Bharat Seva Dal,school,12.9873383,77.5805314,bangalore
Shiksha Sagar High School,school,13.0323102,77.5807282,bangalore
JSS Composite PU College,school,12.9220691,77.5755122,bangalore
Bangalore Educational Society,school,12.9269543,77.5885571,bangalore
Bangalore High School(BHS),school,12.9282849,77.5868566,bangalore
Sree Rama Vidyalaya,school,12.938312,77.5843066,bangalore
Narayana PU College,school,13.0128343,77.6673677,bangalore
Patel Public School,school,13.0143184,77.6423518,bangalore
Jain Animation School,school,12.9179899,77.5920869,bangalore
Unknown,school,12.9598806,77.5640252,bangalore
BBUL Jain Vidyalaya,school,12.9540088,77.5724909,bangalore
Unknown,school,13.0034513,77.5042307,bangalore
Sahakari Vidya Kendra,school,12.9184077,77.5591112,bangalore
"Government Primary School, Vittasandra",school,12.8594794,77.6344242,bangalore
Government School Munekolala,school,12.9519912,77.706771,bangalore
Jnanadeepika School,school,13.0828092,77.5880986,bangalore
Capitol Public School,school,12.8880679,77.5810131,bangalore
Hennur Government School,school,13.0347257,77.6344642,bangalore
Indus Early Learning Centre,school,12.9746587,77.74526,bangalore
St Aloysius Pre Unniversity College,school,12.994291,77.6196026,bangalore
Cambridge School Kothanur,school,12.886025,77.5856544,bangalore
St. Joseph's Indian Composite PU College,school,12.9689388,77.5950441,bangalore
Prarthana School,school,12.9146638,77.559228,bangalore
Bangalore Scottish School,school,12.8803576,77.5796579,bangalore
Srinidhi Public School,school,12.8828036,77.5704042,bangalore
Jnana Deepthi English Primary and High School,school,12.9438068,77.542,bangalore
BSVP School,school,12.9731634,77.5410962,bangalore
St Ann's School,school,12.9800113,77.5566101,bangalore
St Mira's School,school,12.9776695,77.5553656,bangalore
New Baldwins School,school,13.0141643,77.6575124,bangalore
Vinayaka Vidya Samsthe,school,12.9369041,77.5577545,bangalore
Little Lilly's chool,school,13.0763182,77.5569872,bangalore
Government School,school,12.9812737,77.7333977,bangalore
Mother Mary English School,school,13.0054674,77.6482717,bangalore
Pinewood High School,school,12.9751013,77.5311252,bangalore
Cordial High School,school,12.9754931,77.5324927,bangalore
New Baldwin School,school,12.9322822,77.5981308,bangalore
Government School,school,12.9669946,77.591066,bangalore
UAS School,school,13.0292523,77.5829489,bangalore
Ekya School,school,12.9076665,77.596728,bangalore
Sri Ram Driving School,school,12.9003488,77.6271298,bangalore
Aradhana Academy,school,12.8847019,77.5917498,bangalore
New Arvind Memorial School,school,12.8947594,77.6150069,bangalore
St Teresa Hps Begur,school,12.8730251,77.6260135,bangalore
St Teresa Hs,school,12.8737507,77.6259345,bangalore
Udaya School,school,12.9700741,77.5361839,bangalore
Carmel School Ground,school,12.9242219,77.518945,bangalore
St. Marks School,school,12.9145163,77.5987874,bangalore
Rajarajeshwari School,school,13.0610953,77.5540677,bangalore
KKN coaching classes,school,12.9387638,77.5511668,bangalore
Unknown,school,12.9596512,77.7026729,bangalore
JAAGA Bootcamp,school,12.8766575,77.724268,bangalore
Good To Excellence,school,12.9167733,77.6110998,bangalore
Casa de Bambeino Montessori,school,12.9780057,77.6431739,bangalore
DQ Labs,school,12.9737451,77.6415863,bangalore
CNK Reddy College of Business Management.,school,12.9770253,77.6362533,bangalore
The Oxford Secondary School,school,12.9098297,77.5811845,bangalore
The Oxford English School,school,12.9095133,77.5812489,bangalore
The Oxford Senior Secondary School,school,12.9098297,77.5812542,bangalore
The Oxford Primary School,school,12.9100822,77.5815125,bangalore
Kannada Government School,school,12.9949932,77.6635028,bangalore
Bangalore Montessori High School,school,12.9561948,77.6376138,bangalore
K.R.L.S. Patel Rama Reddy English High School,school,12.9552332,77.6374003,bangalore
Eye Level Learning Center,school,12.9419581,77.6227858,bangalore
Nammura Government Model Primary School,school,13.0353468,77.5263173,bangalore
BET Convent,school,12.9209531,77.5213014,bangalore
Info Era - Software training institute,school,12.9801741,77.6372856,bangalore
Srs English Nursery School,school,12.9482223,77.5990903,bangalore
Rose of Sharon Nursery School,school,12.9790633,77.6439187,bangalore
Rakum school for blind,school,12.9792948,77.6433912,bangalore
Government School,school,12.9615699,77.5804526,bangalore
"Shantiniketan English High School, B M P 64",school,12.9147113,77.6024933,bangalore
Government Primary School,school,12.9814182,77.6659562,bangalore
Godwin English School,school,12.9665259,77.5670902,bangalore
Little Aryans,school,12.8819897,77.5825547,bangalore
Reliance,school,12.9581905,77.6169398,bangalore
M S Ramaiah University of Applied Sciences,school,13.0184747,77.5091024,bangalore
GHPS Yellukunte,school,12.9056484,77.6414765,bangalore
Marian Kids,school,13.026938,77.6041637,bangalore
"Mona Nursery, Primary and High School",school,13.0276254,77.6043712,bangalore
Vagdevi Vilas super school,school,12.9458064,77.710759,bangalore
Indus Valley School,school,13.0207661,77.7054808,bangalore
Government Higher Primary School Devarabisanahalli,school,12.9236532,77.6914948,bangalore
Greenvalley high school,school,12.8920481,77.5719005,bangalore
Hani Foundation Montessori,school,12.8867987,77.5675026,bangalore
Sri Chaitanya Techno School,school,12.913853,77.5426932,bangalore
